original_comments,tokenized_comments,clean_text
Sugar bearကအသက်16ဆိုသောက်လို့ရလားဟင် ဆံပင်တွေတအားကျွတ်နေလို့,"['Sugarbear', 'က', 'အသက်', '16', 'ဆို', 'သောက်', 'လို့', 'ရ', 'လား', 'ဟင်', 'ဆံပင်', 'တွေ', 'တအား', 'ကျွတ်', 'နေ', 'လို့']","['Sugarbear', 'အသက်', '16', 'သောက်', 'လို့', 'ဆံပင်', 'တအား', 'ကျွတ်', 'လို့']"
"Sugarbear သောက်လဲ အချိန်ကုန် ပိုက်ဆံကုန်တာပဲ အဖတ်တင်တယ် အထဲမှာ ပါဝင်တဲ့ ပစ္စည်းတွေက hair, nail & skin အတွက် သောက်တဲ့ supplement တွေနဲ့အတူတူပဲ သောက်မယ့်သောက် တစ်ခြား supplement brand တွေပဲ သောက်သင့်ပါတယ် ဉပမာ life extension တို့ swissie တို့ ဆိုတာ ဆေးတံဆိပ်ဖြစ်လို့ အာနိသင်ပိုကောင်းပါတယ်","['Sugarbear', 'သောက်', 'လဲ', 'အချိန်', 'ကုန်', 'ပိုက်ဆံ', 'ကုန်', 'တာ', 'ပဲ', 'အဖတ်တင်', 'တယ်', 'အထဲ', 'မှာ', 'ပါ', 'ဝင်', 'တဲ့', 'ပစ္စည်း', 'တွေ', 'က', 'hair,nail&skin', 'အတွက်', 'သောက်', 'တဲ့', 'supplement', 'တွေ', 'နဲ့', 'အတူတူ', 'ပဲ', 'သောက်', 'မယ့်', 'သောက်', 'တစ်', 'ခြား', 'supplement', 'brand', 'တွေ', 'ပဲ', 'သောက်', 'သင့်', 'ပါ', 'တယ်', 'ဉပမာlifeex', 'tension', 'တို့', 'swissie', 'တို့', 'ဆို', 'တာ', 'ဆေး', 'တံဆိပ်', 'ဖြစ်', 'လို့', 'အာနိသင်', 'ပို', 'ကောင်း', 'ပါ', 'တယ်']","['Sugarbear', 'သောက်', 'အချိန်', 'ကုန်', 'ပိုက်ဆံ', 'ကုန်', 'အဖတ်တင်', 'အထဲ', 'ဝင်', 'ပစ္စည်း', 'hair', 'nail&skin', 'သောက်', 'supplement', 'အတူတူ', 'သောက်', 'မယ့်', 'သောက်', 'ခြား', 'supplement', 'brand', 'သောက်', 'သင့်', 'ဉပမာlifeex', 'tension', 'တို့', 'swissie', 'တို့', 'ဆေး', 'တံဆိပ်', 'လို့', 'အာနိသင်', 'ပို', 'ကောင်း']"
kiminomotoသုံးနေတာကောင်းတယ်,"['kiminomoto', 'သုံး', 'နေ', 'တာ', 'ကောင်း', 'တယ်']","['kiminomoto', 'သုံး', 'ကောင်း']"
hair tonic ညီမတော့ yanagiya သုံးတယ် kaminomoto လဲ ကောင်းတယ်‌ေြပာကြတယ်,"['hairtonic', 'ညီ', 'မ', 'တော့', 'yanagiya', 'သုံး', 'တယ်', 'kaminomoto', 'လဲ', 'ကောင်း', 'တယ်', '\u200cေြပာ', 'ကြ', 'တယ်']","['hairtonic', 'ညီ', 'မ', 'yanagiya', 'သုံး', 'kaminomoto', 'ကောင်း', 'ေြပာ']"
Sugar bear လေးနှစ်ဗူးသောက်ဖူးတယ် သိသာတယ် ဆံပင်အရှည်လည်းမြန်တယ် ဆံပင်လည်းပါးတာကနေထူလာတယ်  အတုတွေပေါလို့ စိတ်ချရတဲ့osကဝယ်ပါ လိုချင်တဲ့ဆံသားရလို့ခု‌ေတာ့မသောက်ဖြစ်တော့ဖူး,"['Sugarbear', 'လေး', 'နှစ်', 'ဗူး', 'သောက်', 'ဖူး', 'တယ်', 'သိ', 'သာ', 'တယ်', 'ဆံပင်', 'အရှည်', 'လည်း', 'မြန်', 'တယ်', 'ဆံပင်', 'လည်း', 'ပါး', 'တာ', 'က', 'နေ', 'ထူ', 'လာ', 'တယ်', 'အတု', 'တွေ', 'ပေါ', 'လို့', 'စိတ်ချ', 'ရ', 'တဲ့', 'os', 'က', 'ဝယ်', 'ပါ', 'လို', 'ချင်', 'တဲ့', 'ဆံသား', 'ရ', 'လို့', 'ခု', '\u200cေတာ့', 'မ', 'သောက်', 'ဖြစ်', 'တော့', 'ဖူး']","['Sugarbear', 'ဗူး', 'သောက်', 'ဖူး', 'သိ', 'သာ', 'ဆံပင်', 'အရှည်', 'မြန်', 'ဆံပင်', 'ပါး', 'ထူ', 'အတု', 'ပေါ', 'လို့', 'စိတ်ချ', 'os', 'ဝယ်', 'ဆံသား', 'လို့', 'ေတာ့', 'မ', 'သောက်', 'ဖူး']"
အတုရှိတယ် သတိထားဝယ်နော်,"['အတု', 'ရှိ', 'တယ်', 'သတိထား', 'ဝယ်', 'နော်']","['အတု', 'သတိထား', 'ဝယ်']"
ညီမကေတာ့ vistra ကထုတ္တဲ့ regow ေသာက္ၿပီး kaminomoto လိမ္းပါတယ္..ခု baby hair ေလးေတြ အမ်ားႀကီးထြက္လာတယ္..sugar bear က ေလးဘူးေလာက္ထိေသာက္ဖူးတယ္ regow ကို ပိုႀကိဳက္တယ္ ေစ်းလည္း sugar bear ေလာက္မႀကီးဘူးရွင့္,"['ညီ', 'မ', 'က', 'ေတာ့vistraကထုတ္', 'တဲ့', 'regowေ', 'သာ', 'က', '္ၿပီးkaminomotoလိမ္း', 'ပါ', 'တယ္..ခုbabyhairေ', 'လ', 'းေတြအမ်ားႀကီးထြက္', 'လာ', 'တယ္..sugarbearကေလး', 'ဘူး', 'ေ', 'လာ', 'က', '္ထိေသာက္ဖူးတယ္regow', 'ကို', 'ပို', 'ႀကိဳက္တယ္ေစ်းလည္းsug', 'arbearေလာက္မႀကီး', 'ဘူး', 'ရ', 'ွင့္']","['ညီ', 'မ', 'ေတာ့vistra', 'ကထုတ္', 'regowေ', 'သာ', '္ၿပီးkaminomoto', 'လိမ္း', 'တယ္ခုbabyhairေ', 'လ', 'းေတြအမ်ားႀကီးထြက္', 'တယ္sugarbear', 'ကေလး', '္ထိေသာက္ဖူးတယ္regow', 'ပို', 'ႀကိဳက္တယ္ေစ်းလည္းsug', 'arbearေလာက္မႀကီး', 'ွင့္']"
Sugar bearက ဆံပင်ရှည်တာသိသာပါတယ် Hair Serumလေးပဲသုံးပါ,"['Sugarbear', 'က', 'ဆံပင်', 'ရှည်', 'တာ', 'သိ', 'သာ', 'ပါ', 'တယ်', 'Hair', 'Serum', 'လေး', 'ပဲ', 'သုံး', 'ပါ']","['Sugarbear', 'ဆံပင်', 'ရှည်', 'သိ', 'သာ', 'Hair', 'Serum', 'သုံး']"
ကိုယ်ကတော့ငယ်ငယ်ကထူတယ် ကျွတ်တော့ပါးကုန်လို့  ဘယ်ဟာသုံးရမလဲဟင်,"['ကိုယ်', 'က', 'တော့', 'ငယ်ငယ်', 'က', 'ထူ', 'တယ်', 'ကျွတ်', 'တော့', 'ပါး', 'ကုန်', 'လို့', 'ဘယ်', 'ဟာ', 'သုံး', 'ရ', 'မ', 'လဲ', 'ဟင်']","['ကိုယ်', 'ငယ်ငယ်', 'ထူ', 'ကျွတ်', 'ပါး', 'ကုန်', 'လို့', 'ဘယ်', 'သုံး', 'မ']"
Sugar bearက အသက္ ဘယ္ေလာက္က စေသာက္ရလဲ ႐ွင္,"['Sugarbearကအသက္ဘယ္ေ', 'လာ', 'က', '္', 'က', 'စေ', 'သာ', 'က', '္ရလဲ႐ွင္']","['Sugarbear', 'ကအသက္ဘယ္ေ', '္', 'သာ', '္ရလဲ႐ွင္']"
Sugar bear ပိုကောင်းမယ်ထင်တယ်,"['Sugarbear', 'ပို', 'ကောင်း', 'မယ်', 'ထင်', 'တယ်']","['Sugarbear', 'ပို', 'ကောင်း', 'ထင်']"
Kaminomoto ကလေညီမအခုသုံးနေတာတော့Side effectတော့မရှိဘူးထင်တာပဲ သူကအရှည်တော့မမြန်ဘူးBaby hairလေးတွေတော့ပြန်ပေါက်တယ်ရယ်အဆီပြန်ရင်လေThe mix by suကScalp scrubလေးသုံးကြည့်ပါလား,"['Kaminomoto', 'က', 'လေ', 'ညီ', 'မ', 'အခု', 'သုံး', 'နေ', 'တာ', 'တော့', 'Side', 'effect', 'တော့', 'မ', 'ရှိ', 'ဘူး', 'ထင်', 'တာ', 'ပဲ', 'သူ', 'က', 'အရှည်', 'တော့', 'မ', 'မြန်', 'ဘူး', 'Babyhair', 'လေး', 'တွေ', 'တော့', 'ပြန်', 'ပေါက်', 'တယ်', 'ရယ်', 'အဆီ', 'ပြန်', 'ရင်', 'လေ', 'The', 'mixbysuကScalp', 'scrub', 'လေး', 'သုံး', 'ကြည့်', 'ပါ', 'လား']","['Kaminomoto', 'ညီ', 'မ', 'အခု', 'သုံး', 'Side', 'effect', 'မ', 'ထင်', 'အရှည်', 'မ', 'မြန်', 'Babyhair', 'ပေါက်', 'ရယ်', 'အဆီ', 'The', 'mixbysu', 'Scalp', 'scrub', 'သုံး', 'ကြည့်']"
ကိုယ်လဲ သိချင်နေတာ..,"['ကိုယ်', 'လဲ', 'သိ', 'ချင်', 'နေ', 'တာ', '..']","['ကိုယ်', 'သိ']"
Catrice ရဲ့ Primer လေးတော့ Recommend ပေးချင်တယ်ဗျ,"['Catrice', 'ရဲ့', 'Primer', 'လေး', 'တော့', 'Recommend', 'ပေး', 'ချင်', 'တယ်', 'ဗျ']","['Catrice', 'Primer', 'Recommend', 'ဗျ']"
Bioderma Pore refiner လေးသုံးကြည့်နော်,"['BiodermaPorerefiner', 'လေး', 'သုံး', 'ကြည့်', 'နော်']","['BiodermaPorerefiner', 'သုံး', 'ကြည့်']"
Postနဲ့သိပ်မဆိုင်ပေမယ့်လေ sunscreen လိမ်းပြီးမှ primer လိမ်းရတာလား primer လိမ်းပြီးမှsunscreen လိမ်းရမှာလားဟင်,"['Post', 'နဲ့', 'သိပ်', 'မ', 'ဆိုင်', 'ပေ', 'မယ့်', 'လေ', 'sun', 'screen', 'လိမ်း', 'ပြီး', 'မှ', 'primer', 'လိမ်း', 'ရ', 'တာ', 'လား', 'primer', 'လိမ်း', 'ပြီး', 'မှ', 'sun', 'screen', 'လိမ်း', 'ရ', 'မှာ', 'လား', 'ဟင်']","['Post', 'သိပ်', 'မ', 'ဆိုင်', 'ပေ', 'မယ့်', 'sun', 'screen', 'လိမ်း', 'primer', 'လိမ်း', 'primer', 'လိမ်း', 'sun', 'screen', 'လိမ်း']"
wet n wildက primerက တော်တော်သုံးကောင်းတယ် မိတ်ကပ်သားလည်းမပျက်ဘူး primerခံလိမ်းတာ အသားလည်းညှက်နေရော,"['wetnwild', 'က', 'primer', 'က', 'တော်တော်', 'သုံး', 'ကောင်း', 'တယ်', 'မိတ်ကပ်', 'သား', 'လည်း', 'မ', 'ပျက်', 'ဘူး', 'primer', 'ခံ', 'လိမ်း', 'တာ', 'အသား', 'လည်း', 'ညှက်', 'နေ', 'ရော']","['wetnwild', 'primer', 'တော်တော်', 'သုံး', 'ကောင်း', 'မိတ်ကပ်', 'သား', 'မ', 'ပျက်', 'primer', 'ခံ', 'လိမ်း', 'အသား', 'ညှက်', 'ရော']"
ရုတ်တရက်ကြည့်လိုက် ပရီးမီးယား လို့ဖတ်ပြီးကော်ဖီထုတ်ကိုမေးတယ်ထင်နေတာ အားနေငတ်နေတဲ့ငါလေး,"['ရုတ်တရက်', 'ကြည့်', 'လိုက်', 'ပရီးမီးယား', 'လို့', 'ဖတ်', 'ပြီး', 'ကော်ဖီ', 'ထုတ်', 'ကို', 'မေး', 'တယ်', 'ထင်', 'နေ', 'တာ', 'အား', 'နေ', 'ငတ်', 'နေ', 'တဲ့', 'ငါ', 'လေး']","['ရုတ်တရက်', 'ကြည့်', 'ပရီးမီးယား', 'လို့', 'ဖတ်', 'ကော်ဖီ', 'ထုတ်', 'မေး', 'ထင်', 'အား', 'ငတ်', 'ငါ']"
L'Oreal ကနေဝယ်လာတာ ညီမတော့ တော်တော်လေးအဆင်ပြေသွားတယ်အဆီလည်းမပြန်ဘူးမိတ်ကပ်လည်းမပျက်ဘူးးးကြာကြာလည်းခံတယ်,"[""L'Oreal"", 'က', 'နေ', 'ဝယ်', 'လာ', 'တာ', 'ညီ', 'မ', 'တော့', 'တော်တော်', 'လေး', 'အဆင်ပြေ', 'သွား', 'တယ်', 'အဆီ', 'လည်း', 'မ', 'ပြန်', 'ဘူး', 'မိတ်ကပ်', 'လည်း', 'မ', 'ပျက်', 'ဘူး', 'းး', 'ကြာ', 'ကြာ', 'လည်း', 'ခံ', 'တယ်']","[""L'Oreal"", 'ဝယ်', 'ညီ', 'မ', 'တော်တော်', 'အဆင်ပြေ', 'အဆီ', 'မ', 'မိတ်ကပ်', 'မ', 'ပျက်', 'းး', 'ကြာ', 'ကြာ', 'ခံ']"
"Pore Primer သုံးပါ Benefit ကတော့ MUA တော်တော်များသုံးကြပါတယ် သူ့ထက်ဈေးသင့်တဲ့ NYX, Catrice, Essence, Wet & Wild ကိုယ်အဆင်ပြေရာ သုံးလို့ရပါတယ်","['Pore', 'Primer', 'သုံး', 'ပါ', 'Benefit', 'က', 'တော့', 'MUA', 'တော်တော်', 'များ', 'သုံး', 'ကြ', 'ပါ', 'တယ်', 'သူ့', 'ထက်', 'ဈေး', 'သင့်', 'တဲ့', 'NYX,Catrice,Essence,', 'Wet&Wild', 'ကိုယ်', 'အဆင်ပြေ', 'ရာ', 'သုံး', 'လို့', 'ရ', 'ပါ', 'တယ်']","['Pore', 'Primer', 'သုံး', 'Benefit', 'MUA', 'တော်တော်', 'သုံး', 'သူ့', 'ထက်', 'ဈေး', 'သင့်', 'NYX', 'Catrice', 'Essence', 'Wet&Wild', 'ကိုယ်', 'အဆင်ပြေ', 'ရာ', 'သုံး', 'လို့']"
အရမ်းကောင်းတာနော် အစွန်းဆုံးကpore primerလေးက လူးတာကြာလာလေ ချွေးပေါက်တွေက်ို သိသိသာသာသက်သာလာတာ စျေးတော့ပုံမှန်primerထပ်နည်းနည်းမြောက်မယ် မြောက်သလောက်လဲအတော်ကောင်းတယ်,"['အရမ်း', 'ကောင်း', 'တာ', 'နော်', 'အစွန်း', 'ဆုံး', 'က', 'pore', 'primer', 'လေး', 'က', 'လူး', 'တာ', 'ကြာ', 'လာ', 'လေ', 'ချွေးပေါက်', 'တွေ', 'က', '်ို', 'သိ', 'သိ', 'သာ', 'သာ', 'သက်သာ', 'လာ', 'တာ', 'စျေး', 'တော့', 'ပုံမှန်', 'primer', 'ထပ်', 'နည်းနည်း', 'မြောက်', 'မယ်', 'မြောက်', 'သလောက်', 'လဲ', 'အတော်', 'ကောင်း', 'တယ်']","['ကောင်း', 'အစွန်း', 'ဆုံး', 'pore', 'primer', 'လူး', 'ကြာ', 'ချွေးပေါက်', '်ို', 'သိ', 'သိ', 'သာ', 'သာ', 'သက်သာ', 'စျေး', 'ပုံမှန်', 'primer', 'ထပ်', 'နည်းနည်း', 'မြောက်', 'မြောက်', 'သလောက်', 'အတော်', 'ကောင်း']"
Touch in Sol က Primer လေးတွေအရမ်းသုံးကောင်းပါတယ် sensitive skin ဆိုရင်ဒါလေး try ကြည့်ပါ မိတ်ကပ်သားလဲညှပ်ပြီး ကြာရှည်လဲခံပါတယ်,"['TouchinSol', 'က', 'Primer', 'လေး', 'တွေ', 'အရမ်း', 'သုံး', 'ကောင်း', 'ပါ', 'တယ်', 'sensitive', 'skin', 'ဆို', 'ရင်', 'ဒါ', 'လေး', 'try', 'ကြည့်', 'ပါ', 'မိတ်ကပ်', 'သား', 'လဲ', 'ညှပ်', 'ပြီး', 'ကြာရှည်', 'လဲ', 'ခံ', 'ပါ', 'တယ်']","['TouchinSol', 'Primer', 'သုံး', 'ကောင်း', 'sensitive', 'skin', 'ဒါ', 'try', 'ကြည့်', 'မိတ်ကပ်', 'သား', 'ညှပ်', 'ကြာရှည်', 'ခံ']"
တိုနာဝယ်ချင်လို့ ညွှန်းပေးပါအုံးရှင် အစကတော့ မျက်နှာအဆီပြန်တယ် ခုတော့မပြန်တော့ဘူးရှင့် mild ဖြစ်တဲ့တိုနာလေး လည်းဖြစ် တခါတလေ ဝက်ခြံ ထွက်တယ် အမဲစက် အမာရွတ် အနည်းငယ်ရှိပါတယ်ရှင့်,"['တိုနာ', 'ဝယ်', 'ချင်', 'လို့', 'ညွှန်း', 'ပေး', 'ပါ', 'အုံး', 'ရှင်', 'အစ', 'က', 'တော့', 'မျက်နှာ', 'အဆီ', 'ပြန်', 'တယ်', 'ခု', 'တော့', 'မ', 'ပြန်', 'တော့', 'ဘူး', 'ရှင့်', 'mild', 'ဖြစ်', 'တဲ့', 'တိုနာ', 'လေး', 'လည်း', 'ဖြစ်', 'တခါတလေ', 'ဝက်ခြံ', 'ထွက်', 'တယ်', 'အမဲစက်', 'အမာရွတ်', 'အနည်းငယ်', 'ရှိ', 'ပါ', 'တယ်', 'ရှင့်']","['တိုနာ', 'ဝယ်', 'လို့', 'ညွှန်း', 'အုံး', 'ရှင်', 'အစ', 'မျက်နှာ', 'အဆီ', 'မ', 'ရှင့်', 'mild', 'တိုနာ', 'တခါတလေ', 'ဝက်ခြံ', 'ထွက်', 'အမဲစက်', 'အမာရွတ်', 'အနည်းငယ်', 'ရှင့်']"
ကိုယ့်မျက်နှာက အဲ့ထက်ဆိုးနေပီ,"['ကိုယ့်', 'မျက်နှာ', 'က', 'အဲ့', 'ထက်', 'ဆိုး', 'နေ', 'ပီ']","['ကိုယ့်', 'မျက်နှာ', 'အဲ့', 'ထက်', 'ဆိုး', 'ပီ']"
