original_comments,tokenized_comments,clean_text
ampoule လိမ်းပြီး serum ထပ်လိမ်းရတာလား မလိမ်းပဲ Moisture နဲ့ Sunscreen လိမ်းမယ်ဆိုရင် အဆင်ပြေလားရှင့်,"['ampoule', 'လိမ်း', 'ပြီး', 'serum', 'ထပ်', 'လိမ်း', 'ရ', 'တာ', 'လား', 'မ', 'လိမ်း', 'ပဲ', 'Moisture', 'နဲ့', 'Sun', 'screen', 'လိမ်း', 'မယ်', 'ဆို', 'ရင်', 'အဆင်ပြေ', 'လား', 'ရှင့်']","['ampoule', 'လိမ်း', 'serum', 'ထပ်', 'လိမ်း', 'မ', 'လိမ်း', 'Moisture', 'Sun', 'screen', 'လိမ်း', 'အဆင်ပြေ', 'ရှင့်']"
Centella လေးဘယ်ကဝယ်လဲရှင့်,"['Centella', 'လေး', 'ဘယ်', 'က', 'ဝယ်', 'လဲ', 'ရှင့်']","['Centella', 'ဘယ်', 'ဝယ်', 'ရှင့်']"
အဆီပြန်ပီးချွေးပေါက်ကျယ်လားဟင်အရင်က ကိုယ့်မျက်နှာလည်းအဲ့လိုဝက်ခြံအနီဖုကြီးထွက်ပီးရင်အမာရွတ်ကျန်လို့ ပုံစံတူနေလို့ပါ,"['အဆီ', 'ပြန်', 'ပီး', 'ချွေးပေါက်', 'ကျယ်', 'လား', 'ဟင်', 'အရင်', 'က', 'ကိုယ့်', 'မျက်နှာ', 'လည်း', 'အဲ့လို', 'ဝက်ခြံ', 'အနီ', 'ဖု', 'ကြီး', 'ထွက်', 'ပီး', 'ရင်', 'အမာရွတ်', 'ကျန်', 'လို့', 'ပုံစံ', 'တူ', 'နေ', 'လို့', 'ပါ']","['အဆီ', 'ပီး', 'ချွေးပေါက်', 'ကျယ်', 'အရင်', 'ကိုယ့်', 'မျက်နှာ', 'အဲ့လို', 'ဝက်ခြံ', 'အနီ', 'ဖု', 'ထွက်', 'ပီး', 'အမာရွတ်', 'ကျန်', 'လို့', 'ပုံစံ', 'တူ', 'လို့']"
အဆီဖုတွေထွက်လာလို့ ဘာသုံးရမလဲရှင့် graymelin mugwort serum လိမ်းတာလဲမပျောက်ပဲပိုထွက်လာသလိုခံစားရလို့ skin 1004 tryကြည့်သင့်လားရှင့်,"['အဆီဖု', 'တွေ', 'ထွက်', 'လာ', 'လို့', 'ဘာ', 'သုံး', 'ရ', 'မ', 'လဲ', 'ရှင့်', 'graymelinmugwort', 'serum', 'လိမ်း', 'တာ', 'လဲ', 'မ', 'ပျောက်', 'ပဲ', 'ပို', 'ထွက်', 'လာ', 'သလို', 'ခံစား', 'ရ', 'လို့', 'skin1004try', 'ကြည့်', 'သင့်', 'လား', 'ရှင့်']","['အဆီဖု', 'ထွက်', 'လို့', 'သုံး', 'မ', 'ရှင့်', 'graymelinmugwort', 'serum', 'လိမ်း', 'မ', 'ပျောက်', 'ပို', 'ထွက်', 'သလို', 'ခံစား', 'လို့', 'skin1004try', 'ကြည့်', 'သင့်', 'ရှင့်']"
မျက်နှာမှာဝက်ခြံ​တော့မထွက်ပဲအမဲစက်နဲနဲ​လေးရှိတယ်dry skin ပါရှင့်ဘာသုံးရမလဲဟင်,"['မျက်နှာ', 'မှာ', 'ဝက်ခြံ', '\u200b', 'တော့', 'မ', 'ထွက်', 'ပဲ', 'အမဲစက်', 'နဲနဲ', '\u200b', 'လေး', 'ရှိ', 'တယ်', 'dryskin', 'ပါ', 'ရှင့်', 'ဘာ', 'သုံး', 'ရ', 'မ', 'လဲ', 'ဟင်']","['မျက်နှာ', 'ဝက်ခြံ', 'မ', 'ထွက်', 'အမဲစက်', 'နဲနဲ', 'dryskin', 'ရှင့်', 'သုံး', 'မ']"
Skin 1004 ampouleက မျက်နှာမှာ ဝက်ခြံမရှိလဲ သံုးလို့ရလား နှဖူးမှာအဆီဖုသေးသေး​သေးလေးတွေတော့ရှိတယ် ပြီးတော့ greymelin serum နဲ့ရော နှစ်ခု တွဲသံုးလို့ရလား ရှင့်,"['Skin1004ampoule', 'က', 'မျက်နှာ', 'မှာ', 'ဝက်ခြံ', 'မ', 'ရှိ', 'လဲ', 'သံ', 'ုး', 'လို့', 'ရ', 'လား', 'နှဖူး', 'မှာ', 'အဆီဖု', 'သေး', 'သေး', '\u200b', 'သေး', 'လေး', 'တွေ', 'တော့', 'ရှိ', 'တယ်', 'ပြီး', 'တော့', 'greymelin', 'serum', 'နဲ့', 'ရော', 'နှစ်', 'ခု', 'တွဲ', 'သံ', 'ုး', 'လို့', 'ရ', 'လား', 'ရှင့်']","['Skin1004ampoule', 'မျက်နှာ', 'ဝက်ခြံ', 'မ', 'သံ', 'ုး', 'လို့', 'နှဖူး', 'အဆီဖု', 'greymelin', 'serum', 'ရော', 'တွဲ', 'သံ', 'ုး', 'လို့', 'ရှင့်']"
Serumက ချွေးပေါက်သိသားလားဟင်,"['Serum', 'က', 'ချွေးပေါက်', 'သိ', 'သား', 'လား', 'ဟင်']","['Serum', 'ချွေးပေါက်', 'သိ', 'သား']"
Graymelin serumလေးကသုံးလို့ကောင်းလားရှင့်,"['Graymelin', 'serum', 'လေး', 'က', 'သုံး', 'လို့', 'ကောင်း', 'လား', 'ရှင့်']","['Graymelin', 'serum', 'သုံး', 'လို့', 'ကောင်း', 'ရှင့်']"
ညမအတွက်ကတော့ အဆင်ပြေတယ်ရော် သူရဲ့ texture လေးက မပျစ်ဘူး watery type လေးဘဲ,"['ည', 'မ', 'အတွက်', 'က', 'တော့', 'အဆင်ပြေ', 'တယ်', 'ရော်', 'သူ', 'ရဲ့', 'texture', 'လေး', 'က', 'မ', 'ပျစ်', 'ဘူး', 'water', 'ytype', 'လေး', 'ဘဲ']","['ည', 'မ', 'အဆင်ပြေ', 'ရော်', 'texture', 'မ', 'ပျစ်', 'water', 'ytype', 'ဘဲ']"
Serum ကတော့ခုသုံးနေတာ လုံးဝကိုရှယ်မိုက်ပါသော,"['Serum', 'က', 'တော့', 'ခု', 'သုံး', 'နေ', 'တာ', 'လုံးဝ', 'ကို', 'ရှယ်', 'မိုက်', 'ပါ', 'သော']","['Serum', 'သုံး', 'လုံးဝ', 'ရှယ်', 'မိုက်']"
